SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
NR,ECLFINANCE,ECL Finance Limited,16/06/2021, , ,15/06/2021, , ,INTEREST PAYMENT         
S2,PEL,PEL 9.28% Unsec CCD,12/06/2021, , ,07/06/2021,07/06/2021,11/06/2021,CONVERSION INTO EQUITY   
U3,DHANILOANS,Dhani Loans & Serv Ltd,23/06/2021, , ,22/06/2021, , ,INTEREST PAYMENT         
U3,ERFLNCDI,Sec Red NCD 8.65% Sr. III,16/06/2021, , ,15/06/2021, , ,INTEREST PAYMENT         
U4,IIFL,Sec Red NCD 9.75 % Sr.III,21/06/2021, , ,18/06/2021, , ,INTEREST PAYMENT         
U5,EHFLNCD,Sec Red NCD 9.57% Sr. V,24/06/2021, , ,23/06/2021, , ,INTEREST PAYMENT         
U5,ERFLNCDI,Sec Red NCD 8.88% Sr. V,16/06/2021, , ,15/06/2021, , ,INTEREST PAYMENT         
U6,IIFL,Unsec Red NCD 10.0% Sr. V,21/06/2021, , ,18/06/2021, , ,INTEREST PAYMENT         
U6,DHANILOANS,Dhani Loans & Serv Ltd,23/06/2021, , ,22/06/2021, , ,INTEREST PAYMENT         
U7,IBUCCREDIT,SeReNCD8.66%SrIVCIII&IV,10/06/2021, , ,09/06/2021, , ,INTEREST PAYMENT         
U8,IBULHSGFIN,Sec Red NCD 8.65% Sr. V,18/06/2021, , ,17/06/2021, , ,INTEREST PAYMENT         
U9,IIFL,Sec Red NCD 9.50 % Sr. II,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
UA,IBUCCREDIT,SeReNCD8.75%SrVICI&II,10/06/2021, , ,09/06/2021, , ,INTEREST PAYMENT         
UA,DHANILOANS,Dhani Loans & Serv Ltd,12/06/2021, , ,10/06/2021, , ,INTEREST/REDEMPTION      
UB,IBUCCREDIT,SeReNCD8.84%SrVICIII&IV,10/06/2021, , ,09/06/2021, , ,INTEREST PAYMENT         
UB,DHANILOANS,Dhani Loans & Serv Ltd,12/06/2021, , ,10/06/2021, , ,INTEREST/REDEMPTION      
UC,DHANILOANS,Dhani Loans & Serv Ltd,12/06/2021, , ,10/06/2021, , ,INTEREST PAYMENT         
UC,IIFL,Unsec Red NCD 10.00% Sr.V,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
UC,IBULHSGFIN,Uns Red NCD 8.79% Sr.VIII,18/06/2021, , ,17/06/2021, , ,INTEREST PAYMENT         
UD,DHANILOANS,Dhani Loans & Serv Ltd,12/06/2021, , ,10/06/2021, , ,INTEREST PAYMENT         
UF,IIFL,IIFL Finance Limited,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
UF,DHANILOANS,Dhani Loans & Serv Ltd,12/06/2021, , ,10/06/2021, , ,INTEREST PAYMENT         
UG,ECLFINANCE,Sec Red NCD 9.25% Sr. III,16/06/2021, , ,15/06/2021, , ,INTEREST PAYMENT         
UG,DHANILOANS,Dhani Loans & Serv Ltd,12/06/2021, , ,10/06/2021, , ,INTEREST PAYMENT         
UI,RECLTD,8.12/8.32% Tax Free NCD,16/06/2021, , ,15/06/2021, , ,INTEREST PAYMENT         
UJ,ECLFINANCE,Sec Red NCD 9.43% Sr. VI,16/06/2021, , ,15/06/2021, , ,INTEREST PAYMENT         
UL,DHANILOANS,Dhani Loans & Serv Ltd,21/06/2021, , ,18/06/2021, , ,INTEREST PAYMENT         
UO,ECLFINANCE,ECL Finance Limited,16/06/2021, , ,15/06/2021, , ,INTEREST PAYMENT         
UO,DHANILOANS,Dhani Loans & Serv Ltd,21/06/2021, , ,18/06/2021, , ,INTEREST PAYMENT         
UR,ECLFINANCE,ECL Finance Limited,16/06/2021, , ,15/06/2021, , ,INTEREST PAYMENT         
X1,ABFRLPP1,Aditya Birla Rs7.5 ppd up,01/07/2021, , ,30/06/2021, , ,FNLCALL-RS 27.50 PER SH  
Y2,L&TFINANCE,L,08/06/2021, , ,07/06/2021, , ,INTEREST PAYMENT         
Y3,L&TFINANCE,L,08/06/2021, , ,07/06/2021, , ,INTEREST PAYMENT         
Y6,L&TFINANCE,L,08/06/2021, , ,07/06/2021, , ,INTEREST PAYMENT         
Y7,L&TFINANCE,L,08/06/2021, , ,07/06/2021, , ,INTEREST PAYMENT         
Y9,SRTRANSFIN,BOND 10.15% PA SRN S-III,29/06/2021, , ,28/06/2021, , ,INTEREST PAYMENT/REDEMPTI
YB,SRTRANSFIN,BOND 9.71% PA SRN S-V,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
YB,SRTRANSFIN,BOND 9.71% PA SRN S-V,29/06/2021, , ,28/06/2021, , ,INTEREST PAYMENT/REDEMPTI
YG,SRTRANSFIN,BOND PA SRN S-VIII,29/06/2021, , ,28/06/2021, , ,INTEREST PAYMENT/REDEMPTI
YH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,28/07/2021, , ,27/07/2021, , ,INTEREST PAYMENT         
YH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,28/06/2021, , ,25/06/2021, , ,INTEREST PAYMENT         
YI,SRTRANSFIN,Sec Red NCD 9.03% Sr. II,28/07/2021, , ,27/07/2021, , ,INTEREST PAYMENT         
YI,SRTRANSFIN,Sec Red NCD 9.03% Sr. II,28/06/2021, , ,25/06/2021, , ,INTEREST PAYMENT         
YJ,SRTRANSFIN,Sec Red NCD 9.10% Sr. III,28/06/2021, , ,25/06/2021, , ,INTEREST PAYMENT/REDEMPTI
YK,SRTRANSFIN,Sec Red NCD 9.30% Sr. IV,28/06/2021, , ,25/06/2021, , ,INTEREST PAYMENT         
YL,SRTRANSFIN,Sec Red NCD 9.40% Sr. V,28/06/2021, , ,25/06/2021, , ,INTEREST PAYMENT         
YM,SRTRANSFIN,Sec Red NCD Sr. VI,28/06/2021, , ,25/06/2021, , ,INTEREST PAYMENT/REDEMPTI
YO,SRTRANSFIN,Sec Red NCD 9.12% Sr. I,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
YO,SRTRANSFIN,Sec Red NCD 9.12% Sr. I,16/07/2021, , ,15/07/2021, , ,INTEREST PAYMENT         
YP,SRTRANSFIN,Sec Red NCD 9.30% Sr. II,16/07/2021, , ,15/07/2021, , ,INTEREST PAYMENT         
YP,SRTRANSFIN,Sec Red NCD 9.30% Sr. II,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
YV,SRTRANSFIN,Shriram Transport Finance,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
YV,SRTRANSFIN,Shriram Transport Finance,15/07/2021, , ,14/07/2021, , ,INTEREST PAYMENT         
YW,SRTRANSFIN,Shriram Transport Finance,15/07/2021, , ,14/07/2021, , ,INTEREST PAYMENT         
YW,SRTRANSFIN,Shriram Transport Finance,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
Z3,SRTRANSFIN,Sec Red NCD 9.12% Sr.I,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
Z3,SRTRANSFIN,Sec Red NCD 9.12% Sr.I,15/07/2021, , ,14/07/2021, , ,INTEREST PAYMENT         
Z4,SRTRANSFIN,Sec Red NCD 9.22% Sr.II,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
Z4,SRTRANSFIN,Sec Red NCD 9.22% Sr.II,15/07/2021, , ,14/07/2021, , ,INTEREST PAYMENT         
Z5,SRTRANSFIN,Sec Red NCD 9.31% Sr.III,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
Z5,SRTRANSFIN,Sec Red NCD 9.31% Sr.III,15/07/2021, , ,14/07/2021, , ,INTEREST PAYMENT         
ZD,SRTRANSFIN,Sec Red NCD 8.52% Sr.I,15/07/2021, , ,14/07/2021, , ,INTEREST PAYMENT         
ZD,SRTRANSFIN,Sec Red NCD 8.52% Sr.I,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
ZE,SRTRANSFIN,Sec Red NCD 8.66% Sr.II,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
ZE,SRTRANSFIN,Sec Red NCD 8.66% Sr.II,15/07/2021, , ,14/07/2021, , ,INTEREST PAYMENT         
ZF,SRTRANSFIN,Sec Red NCD 8.75% Sr.III,15/06/2021, , ,14/06/2021, , ,INTEREST PAYMENT         
ZF,SRTRANSFIN,Sec Red NCD 8.75% Sr.III,15/07/2021, , ,14/07/2021, , ,INTEREST PAYMENT         

